,loss,accuracy,val_loss,val_accuracy
0,1.849260807,0.318702757,0.935226321,0.509971499
1,0.953817666,0.52816385,0.788533032,0.660968661
2,0.869655728,0.623018801,0.783456326,0.675213695
3,0.786989868,0.607168972,0.751012862,0.655270636
4,0.719996691,0.694952428,0.635151744,0.742450118
5,0.776452541,0.637649357,0.685983539,0.697435915
6,0.679484546,0.713240683,0.720219851,0.69116807
7,0.682298541,0.717142165,0.849933386,0.635327637
8,0.685343385,0.716410637,0.720983028,0.696866095
9,0.623363018,0.744940281,0.662830114,0.729914546
10,0.650478482,0.7242136,0.663734198,0.725925922
11,0.651708961,0.726164341,0.703195512,0.710541308
12,0.594966829,0.763228476,0.631667316,0.74415952
13,0.598027706,0.753230929,0.598557651,0.749857545
14,0.571952879,0.763472319,0.674584627,0.728774905
15,0.579661489,0.760058522,0.660895348,0.735042751
16,0.554096878,0.774445236,0.642675102,0.743589759
17,0.557581127,0.774932921,0.680216253,0.725925922
18,0.588187873,0.756400883,0.736434042,0.708831906
19,0.614583731,0.746159494,0.738719046,0.70256412
20,0.577214658,0.768836856,0.588724792,0.759544134
21,0.562447727,0.761521578,0.612364829,0.750427365
22,0.549240053,0.777371347,0.595727026,0.762962937
23,0.556378126,0.772250652,0.653198242,0.741880357
24,0.532860219,0.784198999,0.747804642,0.705982924
25,0.571324646,0.763228476,0.743831456,0.704273522
26,0.535564363,0.779809773,0.662278116,0.738461554
27,0.616055846,0.760546207,0.672430873,0.732193708
28,0.558207989,0.777127504,0.576116621,0.766951561
29,0.529384196,0.788344324,0.702455342,0.729344726
